Date,CSHI,DBMF,GLD,QQQ,SHV,SPY,TLT,^GSPC,^VIX
2016-06-27,,,126.68000030517578,95.49003601074219,88.67119598388672,170.45994567871094,105.7136459350586,2000.5400390625,23.850000381469727
2016-06-28,,,125.31999969482422,97.5825424194336,88.65511322021484,173.53431701660156,105.93395233154297,2036.0899658203125,18.75
2016-06-29,,,125.83999633789062,99.3107681274414,88.65511322021484,176.48922729492188,105.12118530273438,2070.77001953125,16.639999389648438
2016-06-30,,,126.47000122070312,100.45977783203125,88.6792221069336,178.8975830078125,105.50852966308594,2098.860107421875,15.630000114440918
2016-07-01,,,128.41000366210938,100.96424865722656,88.69690704345703,179.2732696533203,106.97351837158203,2102.949951171875,14.770000457763672
2016-07-05,,,129.47000122070312,100.34770965576172,88.6808090209961,177.98374938964844,108.31277465820312,2088.550048828125,15.579999923706055
2016-07-06,,,130.22999572753906,101.16976928710938,88.65674591064453,179.05123901367188,108.48785400390625,2099.72998046875,14.960000038146973
2016-07-07,,,129.74000549316406,101.46871185302734,88.6808090209961,178.94024658203125,108.48021697998047,2097.89990234375,14.760000228881836
2016-07-08,,,130.52000427246094,103.03805541992188,88.67279052734375,181.604736328125,109.27928924560547,2129.89990234375,13.199999809265137
2016-07-11,,,129.2899932861328,103.62659454345703,88.65674591064453,182.24520874023438,108.32044982910156,2137.159912109375,13.539999961853027
2016-07-12,,,127.1500015258789,104.14973449707031,88.66471099853516,183.56895446777344,106.5396728515625,2152.139892578125,13.550000190734863
2016-07-13,,,128.32000732421875,103.89752197265625,88.65674591064453,183.54335021972656,107.79534912109375,2152.429931640625,13.039999961853027
2016-07-14,,,127.33000183105469,104.60749053955078,88.65674591064453,184.56814575195312,106.2276840209961,2163.75,12.819999694824219
2016-07-15,,,126.83999633789062,104.43934631347656,88.66471099853516,184.32049560546875,105.31452178955078,2161.739990234375,12.670000076293945
2016-07-18,,,127.04000091552734,105.1305923461914,88.66471099853516,184.81585693359375,105.21558380126953,2166.889892578125,12.4399995803833
2016-07-19,,,127.20999908447266,104.7475814819336,88.65674591064453,184.62789916992188,105.80913543701172,2163.780029296875,11.970000267028809
2016-07-20,,,125.38999938964844,105.97136688232422,88.65674591064453,185.396484375,105.23074340820312,2173.02001953125,11.770000457763672
2016-07-21,,,127.30000305175781,105.72847747802734,88.66471099853516,184.6962432861328,105.44381713867188,2165.169921875,12.739999771118164
2016-07-22,,,126.3499984741211,106.1675033569336,88.65674591064453,185.52464294433594,105.62653350830078,2175.030029296875,12.020000457763672
2016-07-25,,,125.47000122070312,106.17684173583984,88.66471099853516,185.02078247070312,105.5504150390625,2168.47998046875,12.869999885559082
2016-07-26,,,126.0,106.29829406738281,88.65674591064453,185.10617065429688,105.71778106689453,2169.179931640625,13.050000190734863
2016-07-27,,,128.02999877929688,107.03631591796875,88.67279052734375,184.90977478027344,107.03427124023438,2166.580078125,12.829999923706055
2016-07-28,,,127.66000366210938,107.4099349975586,88.66471099853516,185.12327575683594,106.8364486694336,2170.06005859375,12.720000267028809
2016-07-29,,,128.97999572753906,107.64350128173828,88.6808090209961,185.42213439941406,107.72679901123047,2173.60009765625,11.869999885559082
2016-08-01,,,129.22000122070312,108.21334075927734,88.68083953857422,185.26844787597656,106.55883026123047,2170.840087890625,12.4399995803833
2016-08-02,,,130.27000427246094,107.3912582397461,88.68083953857422,184.08135986328125,105.46102142333984,2157.030029296875,13.369999885559082
2016-08-03,,,129.64999389648438,107.74625396728516,88.66474914550781,184.61936950683594,105.52208709716797,2163.7900390625,12.859999656677246
2016-08-04,,,129.8699951171875,108.05452728271484,88.68882751464844,184.81585693359375,106.31488800048828,2164.25,12.420000076293945
2016-08-05,,,127.55000305175781,109.09144592285156,88.67279815673828,186.32736206054688,105.20939636230469,2182.8701171875,11.390000343322754
2016-08-08,,,127.44000244140625,108.97001647949219,88.65670013427734,186.21630859375,105.4076919555664,2180.889892578125,11.5
2016-08-09,,,127.95999908447266,109.22222137451172,88.67279815673828,186.32736206054688,106.44447326660156,2181.739990234375,11.65999984741211
2016-08-10,,,128.55999755859375,108.94197845458984,88.68083953857422,185.8662109375,106.8562240600586,2175.489990234375,12.050000190734863
2016-08-11,,,127.66999816894531,109.4090576171875,88.68882751464844,186.72879028320312,105.90318298339844,2185.7900390625,11.680000305175781
2016-08-12,,,127.4000015258789,109.48379516601562,88.68083953857422,186.5665283203125,106.79523468017578,2184.050048828125,11.550000190734863
2016-08-15,,,127.83999633789062,109.95085906982422,88.68882751464844,187.10455322265625,105.78887176513672,2190.14990234375,11.8100004196167
